id,name,title,cost,inkwell,attack,defence,color,type,action,flavour,separator,stars,illustrator,card_set_id,language,number,pack,rarity,image,blurhash,franchise_id,final,spoiler,created_at,updated_at,traits,prices,franchise,languages
1,Mickey Mouse,Brave Little Tailor,8,1,5,5,1,glimmer,<b>Evasive</b> (<i>Only characters with Evasive can challenge this character.</i>),"When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.",pen,4,Nicholas Kole,1,EN,1,P1,promo,https://images.lorcania.com/cards/d23/1_en_mickey-716.webp,LGKAN9Vt5kxDA0M|xrs:ugELnPj[,1,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Hero', 'Dreamborn']",2499.01,"{'id': 1, 'name': 'Micky Mouse and Friends', 'slug': 'micky-mouse-and-friends', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FMickey_Mouse_and_Friends.png'}","{'EN': {'card_id': 1, 'language': 'EN', 'name': 'Mickey Mouse', 'title': 'Brave Little Tailor', 'action': '<b>Evasive</b> (<i>Only characters with Evasive can challenge this character.</i>)', 'flavour': 'When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.', 'image': 'https://images.lorcania.com/cards/d23/1_en_mickey-716.webp'}}"
2,Stitch,Rock Star,6,1,3,5,4,glimmer,"<b>Shift</b> 4 (<i>You may pay 4 * to play this on top of one of your Stitch characters.</i>)<br><mark>Adoring Fans</mark> Whenever you play a character with cost 2 or less, you may exert it to draw a card.",The best part about a beachside concert is that there's always room for one more.,pen,3,Simangaliso Sibaya,1,EN,2,P1,promo,https://images.lorcania.com/cards/d23/2_en_stitch-716.webp,L3Jjbh5800Vr0FOWVBt600S${]^k,2,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Hero', 'Floodborn', 'Alien']",0,"{'id': 2, 'name': 'Lilo and Stitch', 'slug': 'lilo-and-stitch', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FLilo_and_Stitch.png'}","{'EN': {'card_id': 2, 'language': 'EN', 'name': 'Stitch', 'title': 'Rock Star', 'action': '<b>Shift</b> 4 (<i>You may pay 4 * to play this on top of one of your Stitch characters.</i>)<br><mark>Adoring Fans</mark> Whenever you play a character with cost 2 or less, you may exert it to draw a card.', 'flavour': ""The best part about a beachside concert is that there's always room for one more."", 'image': 'https://images.lorcania.com/cards/d23/2_en_stitch-716.webp'}}"
3,Elsa,Snow Queen,3,1,2,3,5,glimmer,<mark>Freeze</mark> ↷ - Exert chosen opposing character.,"Recreated by magical ink, Elsa found herself in an unfamiliar new world. Fortunately, ice works the same way everywhere.",pen,1,Nicholas Kole,1,EN,3,P1,promo,https://images.lorcania.com/cards/d23/3_en_elsa-716.webp,LKHeFKi_4.Wo0uxBR#WB$@n#n-e-,3,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Hero', 'Dreamborn', 'Queen', 'Sorcerer']",0,"{'id': 3, 'name': 'Frozen', 'slug': 'frozen', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FFrozen.png'}","{'EN': {'card_id': 3, 'language': 'EN', 'name': 'Elsa', 'title': 'Snow Queen', 'action': '<mark>Freeze</mark> ↷ - Exert chosen opposing character.', 'flavour': 'Recreated by magical ink, Elsa found herself in an unfamiliar new world. Fortunately, ice works the same way everywhere.', 'image': 'https://images.lorcania.com/cards/d23/3_en_elsa-716.webp'}}"
4,Cruella De Vil,Miserable As Usual,2,1,1,3,3,glimmer,"<mark>You'll Be Sorry</mark> When this character is challenged and banished, you may return chosen character to their player's hand.","When she stops by, misery is company.",pen,1,Nicholas Kole,1,EN,4,P1,promo,https://images.lorcania.com/cards/d23/4_en_cruella-716.webp,LFH_o5Iq4;bE07bEX4of_kR*K3%1,4,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Storyborn', 'Villain']",0,"{'id': 4, 'name': '101 Dalmatians', 'slug': '101-dalmatians', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2F101_Dalmatiner.png'}","{'EN': {'card_id': 4, 'language': 'EN', 'name': 'Cruella De Vil', 'title': 'Miserable As Usual', 'action': ""<mark>You'll Be Sorry</mark> When this character is challenged and banished, you may return chosen character to their player's hand."", 'flavour': 'When she stops by, misery is company.', 'image': 'https://images.lorcania.com/cards/d23/4_en_cruella-716.webp'}}"
5,Maleficent,Monstrous Dragon,9,1,7,5,1,glimmer,"<mark>Dragon Fire</mark> When you play this character, you may banish chosen opposing character.","The ninth Rule of Villainy: When all else fails, turn into a dragon.",pen,2,Luis Huerta,1,EN,5,P1,promo,https://images.lorcania.com/cards/d23/5_en_maleficent-716.webp,L6J~u]je0fE%01-o%ZOr4GnjNH-m,5,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Storyborn', 'Villain', 'Dragon']",0,"{'id': 5, 'name': 'Sleeping Beauty', 'slug': 'sleeping-beauty', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FSleeping_Beauty.png'}","{'EN': {'card_id': 5, 'language': 'EN', 'name': 'Maleficent', 'title': 'Monstrous Dragon', 'action': '<mark>Dragon Fire</mark> When you play this character, you may banish chosen opposing character.', 'flavour': 'The ninth Rule of Villainy: When all else fails, turn into a dragon.', 'image': 'https://images.lorcania.com/cards/d23/5_en_maleficent-716.webp'}, 'DE': {'card_id': 5, 'language': 'DE', 'name': None, 'title': None, 'action': None, 'flavour': None, 'image': None}, 'FR': {'card_id': 5, 'language': 'FR', 'name': None, 'title': None, 'action': None, 'flavour': None, 'image': None}}"
6,Robin Hood,Unrivaled Archer,6,1,4,4,2,glimmer,"<mark>Feed The Poor</mark> When you play this character, if an opponent has more cards in their hand than you, draw a card.<br><mark>Good Shot</mark> During your turn, this character has <b>Evasive</b>. (<i>They can challenge characters with Evasive.</i>)","""We never rob. We just sort of borrow a bit from those who can afford it.""",pen,2,John Loren,1,EN,6,P1,promo,https://images.lorcania.com/cards/d23/6_en_robin-716.webp,L9GlLpHD02iI02yq$jn3Uuv~t8t7,6,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Hero', 'Storyborn']",0,"{'id': 6, 'name': 'Robin Hood', 'slug': 'robin-hood', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FRobin_Hood.png'}","{'EN': {'card_id': 6, 'language': 'EN', 'name': 'Robin Hood', 'title': 'Unrivaled Archer', 'action': '<mark>Feed The Poor</mark> When you play this character, if an opponent has more cards in their hand than you, draw a card.<br><mark>Good Shot</mark> During your turn, this character has <b>Evasive</b>. (<i>They can challenge characters with Evasive.</i>)', 'flavour': '""We never rob. We just sort of borrow a bit from those who can afford it.""', 'image': 'https://images.lorcania.com/cards/d23/6_en_robin-716.webp'}}"
7,Captain Hook,Forceful Duelist,1,1,1,2,6,glimmer,"<b>Challenger</b> +2 (<i>When challenging, this character get +2 ※.</i>)",He loves to make light of a foe's predicament.,pen,1,Marcel Berg,1,EN,7,P1,promo,https://images.lorcania.com/cards/d23/7_en_hook-716.webp,L7H24X^*029a05?GXgIU{@RQots*,7,1,0,2022-09-22T12:35:18.000000Z,2022-09-22T12:35:18.000000Z,"['Dreamborn', 'Villain', 'Pirate', 'Captain']",0,"{'id': 7, 'name': 'Peter Pan', 'slug': 'peter-pan', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FPeter_Pan.png'}","{'EN': {'card_id': 7, 'language': 'EN', 'name': 'Captain Hook', 'title': 'Forceful Duelist', 'action': '<b>Challenger</b> +2 (<i>When challenging, this character get +2 ※.</i>)', 'flavour': ""He loves to make light of a foe's predicament."", 'image': 'https://images.lorcania.com/cards/d23/7_en_hook-716.webp'}}"
8,Dragon Fire,,5,0,,,1,action,Banish chosen character.,Rare is the hero who can withstand a dragon's wrath.,pen,0,Luis Huerta,2,EN,130,204,uncommon,https://images.lorcania.com/cards/tfc/130_en_dragon_fire-716.webp,"L3KTF%0403,A00Q#xu,K0G.Y??u=",5,1,0,2022-12-20T18:21:54.000000Z,2022-12-20T18:21:54.000000Z,['Action'],0.75,"{'id': 5, 'name': 'Sleeping Beauty', 'slug': 'sleeping-beauty', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FSleeping_Beauty.png'}","{'EN': {'card_id': 8, 'language': 'EN', 'name': 'Dragon Fire', 'title': None, 'action': 'Banish chosen character.', 'flavour': ""Rare is the hero who can withstand a dragon's wrath."", 'image': 'https://images.lorcania.com/cards/tfc/130_en_dragon_fire-716.webp'}, 'DE': {'card_id': 8, 'language': 'DE', 'name': 'Drachenfeuer', 'title': None, 'action': 'Verbanne einen Charakter deiner Wahl.', 'flavour': 'Es gibt kaum Helden, die dem Zorn eines Drachen trotzen können.', 'image': 'https://images.lorcania.com/cards/tfc/130_de_dragon_fire-716.webp'}, 'FR': {'card_id': 8, 'language': 'FR', 'name': 'Feu Du Dragon', 'title': None, 'action': 'Choisissez un personnage et bannissez-le.', 'flavour': ""Rares sont les Héros capables de résister à la colère d'un dragon."", 'image': 'https://images.lorcania.com/cards/tfc/130_fr_dragon_fire-716.webp'}}"
9,Olaf,Friendly Snowman,1,1,1,3,5,glimmer,,"""I'm Olaf and I like warm hugs!""",book,1,Giulia Riva,2,EN,52,204,uncommon,https://images.lorcania.com/cards/tfc/52_en_olaf-716.webp,LAMPg=WB00FH*cR~D~NGF9S|S%wI,3,1,0,2022-12-26T18:16:40.000000Z,2022-12-26T18:16:40.000000Z,"['Storyborn', 'Ally']",0.25,"{'id': 3, 'name': 'Frozen', 'slug': 'frozen', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FFrozen.png'}","{'EN': {'card_id': 9, 'language': 'EN', 'name': 'Olaf', 'title': 'Friendly Snowman', 'action': None, 'flavour': '""I\'m Olaf and I like warm hugs!""', 'image': 'https://images.lorcania.com/cards/tfc/52_en_olaf-716.webp'}, 'DE': {'card_id': 9, 'language': 'DE', 'name': 'Olaf', 'title': 'Freundlicher Schneemann', 'action': None, 'flavour': '„Ich bin Olaf und ich liebe Umarmungen.“', 'image': 'https://images.lorcania.com/cards/tfc/52_de_olaf-716.webp'}, 'FR': {'card_id': 9, 'language': 'FR', 'name': 'Olaf', 'title': 'Bonhomme de neige amical', 'action': None, 'flavour': '""Salut, je suis Olaf et j\'aime les câlins chaleureux!""', 'image': 'https://images.lorcania.com/cards/tfc/61_fr_olaf-716.webp'}}"
10,Jumba Jookiba,Renegade Scientist,5,1,4,5,3,glimmer,,"""Created something? Ha! But that would be irresponsible and unethical. I would never, ever . . . make more than one.""",book,2,Milica Celikovic,2,EN,83,204,uncommon,https://images.lorcania.com/cards/tfc/83_en_jumba_jookiba-716.webp,L6G[_l9K02?800%LR7%KqL%F?;N3,2,1,0,2023-01-13T17:57:29.000000Z,2023-01-13T17:57:29.000000Z,"['Dreamborn', 'Alien', 'Inventor']",0.34,"{'id': 2, 'name': 'Lilo and Stitch', 'slug': 'lilo-and-stitch', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FLilo_and_Stitch.png'}","{'EN': {'card_id': 10, 'language': 'EN', 'name': 'Jumba Jookiba', 'title': 'Renegade Scientist', 'action': None, 'flavour': '""Created something? Ha! But that would be irresponsible and unethical. I would never, ever . . . make more than one.""', 'image': 'https://images.lorcania.com/cards/tfc/83_en_jumba_jookiba-716.webp'}, 'DE': {'card_id': 10, 'language': 'DE', 'name': 'Jamba Jookiba', 'title': 'Abtrünniger Wissenschaftler', 'action': None, 'flavour': '„Etwas geschaffen? Ha, das wäre nciht verantwortlich und gegen jede Ethik! Ich würde niemals, nie ... produzieren mehr als eins?“', 'image': 'https://images.lorcania.com/cards/tfc/83_de_jumba_jookiba-716.webp'}, 'FR': {'card_id': 10, 'language': 'FR', 'name': 'Jumba Jookiba', 'title': 'Scientifique renégat', 'action': None, 'flavour': '""Créer un être, moi ? Ha ! Mais ce serait totalement irresponsable et contraire à l\'éthique. Je ne pourrais jamais, jamais...enfin si...peut-être...pour essayer.""', 'image': 'https://images.lorcania.com/cards/tfc/83_fr_jumba_jookiba-716.webp'}}"
